,Trip Names,Prices ,Discounts,Duration
0,Leh Ladakh Backpacking Bike Trip,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
1,Spiti Valley Circuit Trip,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
2,Uttarakhand Backpacking- Rishikesh Auli Chopta,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
3,Manali Sissu Kasol,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
4,Kashmir Backpacking,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
5,Himachal Backpacking Summer Special,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
6,Leh Srinagar Backpacking Bike Trip,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
7,Manali Leh Srinagar Backpacking Bike Trip,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
8,Fantastic Goa,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
9,Manali Kasol Jibhi,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
10,Rajasthan Backpacking- Udaipur Jodhpur Jaisalmer,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
11,Rishikesh Chopta Tungnath,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
12,Manali Kasol Kheerganga,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
13,NY Winter Spiti,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
14,All Girls Ladakh Trip With Turtuk,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
15,All Girls Manali Leh Trip,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
16,Manali Sissu Kasol Kheerganga,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
17,Leh Ladakh With Turtuk,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
18,Himachal Backpacking - Manali Kasol Jibhi,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
19,Meghalaya Backpacking,₹22500 per person,"Discount: ₹2,500 Off",6 Days 5 Nights
20,Mcleodganj & Triund Trek,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
21,Chopta-Tungnath-Deoriatal,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
22,Kasol Kheerganga Trek,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
23,Jibhi & Tirthan Valley,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
24,Mcleodganj & Bir,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
25,Kasauli Shimla 4 Days 3 Nights,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
26,Shimla 3 Days 2 Nights,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
27,Dharamshala Dalhousie,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
28,NY Manali Sissu,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
29,Udaipur & Kumbhalgarh,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
30,Udaipur & Mount Abu Trip From Delhi,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
31,Kashmir Backpacking Summer Edition,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
32,Manali Kasol 4D3N,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
33,Manali Jispa,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
34,Kareri Lake Trek,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
35,Shangarh & Sainj Valley,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
36,Manali Sissu,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
37,Auli & Joshimath,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
38,Jaisalmer And Longewala,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
39,Mcleodganj & Bir Billing,₹6499 per person,Discount: ₹500 Off,4 Days 3 Nights
40,Enthralling Europe Tour,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
41,Exquisite Baku Tour Package From India,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
42,Majestic Baku Tour Package From India,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
43,Almaty 5D4N Kazakhstan,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
44,Ho Chi Minh & Hanoi 6D5N,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
45,Georgia 5D4N,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
46,Georgia 4D3N,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
47,Azerbaijan & Georgia,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
48,Azerbaijan 5D4N,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
49,Azerbaizan 6D5N,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
50,Bali & Singapore,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
51,Bali & Malaysia,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
52,Kazakhstan & Uzbekistan,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
53,Thailand Full Moon Party,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
54,Phuket Explorer 6N7D,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
55,Thailand 9D8N,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
56,Honeymoon Special Phuket Krabi,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
57,Phuket Krabi 5N6D,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
58,Bangkok Pattaya 6D5N,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
59,Bangkok Pattaya 7D6N,₹59999 per person,"Discount: ₹10,000 Off",14 Nights 15 Days
60,Hampta Pass Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
61,Brahmatal Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
62,Nag Tibba Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
63,Roopkund Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
64,Saputara Group Trip,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
65,Ratanmahal Trek From Vadodara,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
66,Andharban Forest Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
67,Peb Fort Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
68,Devkund Waterfall Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
69,Harihar Fort Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
70,Harishchandragad Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
71,Jivdhan Fort Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
72,Kalsubai Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
73,Tarsar Marsar Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
74,Ali Bedni Bughyal,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
75,Bhrigu Lake Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
76,Kashmir Great Lakes Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
77,Valley Of Flowers Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
78,Chadar Trek,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
79,Snowboarding Course In Gulmarg,₹7500 per person,Discount: ₹500 Off,5 Days 4 Nights
80,Honeymoon Special- Chandigarh Shimla Manali,₹20000 per person,"Discount: ₹5,000 Off",5 Days 4 Nights
81,Honeymoon Special- Himachal Pardesh,₹20000 per person,"Discount: ₹5,000 Off",5 Days 4 Nights
82,Phuket Krabi Honeymoon Trip,₹20000 per person,"Discount: ₹5,000 Off",5 Days 4 Nights
83,Honeymoon Special - Phuket Krabi,₹20000 per person,"Discount: ₹5,000 Off",5 Days 4 Nights
84,Honeymoon Special- Shimla To Manali,₹20000 per person,"Discount: ₹5,000 Off",5 Days 4 Nights
85,Vietnam Honeymoon Trip - Hanoi & Da Nang,₹20000 per person,"Discount: ₹5,000 Off",5 Days 4 Nights
86,Southern Vietnam - Honeymoon Special,₹20000 per person,"Discount: ₹5,000 Off",5 Days 4 Nights
87,Northern Vietnam - Honeymoon Special,₹20000 per person,"Discount: ₹5,000 Off",5 Days 4 Nights
88,Manali Honeymoon Trip - 6 Days 5 Nights,₹20000 per person,"Discount: ₹5,000 Off",5 Days 4 Nights
89,Kashmir Honeymoon Package 7 Days 6 Nights,₹20000 per person,"Discount: ₹5,000 Off",5 Days 4 Nights
90,Manali Jibhi Honeymoon Trip,₹20000 per person,"Discount: ₹5,000 Off",5 Days 4 Nights
91,Kasol Manali JIbhi Honeymoon Trip,₹20000 per person,"Discount: ₹5,000 Off",5 Days 4 Nights
92,Chakrata Corporate Trip,₹5500 per person,0,2 Days 1 Night
93,Kanatal Corporate Trip,₹5500 per person,0,2 Days 1 Night
94,Jim Corbett - 2D1N,₹5500 per person,0,2 Days 1 Night
